,word,score
0,1603,0.0024439871900604573
1,abhorred,0.0024439871900604573
2,abide,0.004887974380120915
3,abiure,0.0024439871900604573
4,aboue,0.007331961570181372
5,abound,0.0024439871900604573
6,abroad,0.004887974380120915
7,absence,0.004887974380120915
8,absent,0.0024439871900604573
9,absolute,0.007331961570181372
10,abuse,0.004887974380120915
11,accents,0.0024439871900604573
12,accesse,0.0024439871900604573
13,accompany,0.0024439871900604573
14,accompt,0.0024439871900604573
15,according,0.004887974380120915
16,account,0.0024439871900604573
17,accounted,0.0024439871900604573
18,accurs,0.0024439871900604573
19,accursed,0.004887974380120915
20,accust,0.0024439871900604573
21,accustom,0.0024439871900604573
22,acheron,0.0024439871900604573
23,acquaint,0.0024439871900604573
24,act,0.00977594876024183
25,acted,0.0024439871900604573
26,acting,0.0024439871900604573
27,action,0.0024439871900604573
28,actions,0.0024439871900604573
29,acts,0.0024439871900604573
30,actuall,0.0024439871900604573
31,actus,0.012219935950302286
32,addage,0.0024439871900604573
33,adde,0.004887974380120915
34,added,0.0024439871900604573
35,adders,0.0024439871900604573
36,addition,0.004887974380120915
37,addrest,0.0024439871900604573
38,adhere,0.0024439871900604573
39,adieu,0.004887974380120915
40,admir,0.0024439871900604573
41,aduance,0.0024439871900604573
42,aduantage,0.0024439871900604573
43,aduice,0.004887974380120915
44,aduise,0.004887974380120915
45,afeard,0.0024439871900604573
46,affaire,0.0024439871900604573
47,affaires,0.0024439871900604573
48,affear,0.007331961570181372
49,affection,0.0024439871900604573
50,affliction,0.0024439871900604573
51,affraid,0.007331961570181372
52,afraid,0.004887974380120915
53,afternoone,0.0024439871900604573
54,againe,0.051323730991269606
55,age,0.004887974380120915
56,agent,0.0024439871900604573
57,agents,0.0024439871900604573
58,agitation,0.0024439871900604573
59,ague,0.0024439871900604573
60,aid,0.0024439871900604573
61,alack,0.0024439871900604573
62,alarme,0.0024439871900604573
63,alarum,0.014663923140362745
64,alarums,0.00977594876024183
65,alas,0.00977594876024183
66,aleppo,0.0024439871900604573
67,alike,0.0024439871900604573
68,aliue,0.007331961570181372
69,allegeance,0.0024439871900604573
70,alowd,0.0024439871900604573
71,alreadie,0.0024439871900604573
